gameId,blue_win,blue_firsttower,blue_firstblood,blue_firstherald,blue_firstinhibitor,blue_firstdragon,red_win,red_firsttower,red_firstblood,red_firstherald,red_firstinhibitor,red_firstdragon,blue_champ1,blue_champ2,blue_champ3,blue_champ4,blue_champ5,red_champ1,red_champ2,red_champ3,red_champ4,red_champ5,blue_gold,blue_xp,blue_cs,red_gold,red_xp,red_cs,blue_ward,blue_wardkill,blue_dragon,blue_herald,blue_championkill,blue_championassist,blue_tower,blue_inhibitor,blue_baron,red_ward,red_wardkill,red_dragon,red_herald,red_championkill,red_championassist,red_tower,red_inhibitor,red_baron
3030211588,Win,TRUE,FALSE,FALSE,TRUE,TRUE,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,81,41,142,121,21,57,98,22,102,45,33208,33364,489,25911,29335,445,48,11,1,0,15,14,3,0,0,45,22,0,0,12,11,0,0,0
3030197041,Win,TRUE,TRUE,TRUE,TRUE,FALSE,Fail,FALSE,FALSE,FALSE,FALSE,TRUE,61,202,41,59,21,102,22,90,101,2,27033,28752,457,25423,30437,503,50,9,0,1,7,10,2,0,0,34,25,2,0,6,4,1,0,0
3028401792,Fail,TRUE,FALSE,FALSE,FALSE,TRUE,Win,FALSE,TRUE,FALSE,TRUE,FALSE,142,268,102,22,150,127,21,110,90,33,25607,28214,457,29664,31470,419,33,13,1,0,6,7,1,0,0,37,12,0,0,20,25,1,0,0
3028349193,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,Win,TRUE,FALSE,FALSE,TRUE,TRUE,110,420,101,89,59,115,164,21,120,38,24123,26945,431,30768,32129,413,34,11,0,0,7,12,0,0,0,32,35,0,0,17,22,3,0,0
3028345928,Win,TRUE,FALSE,FALSE,TRUE,TRUE,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,101,126,110,223,121,21,163,22,150,59,27474,28806,461,27987,28222,382,45,15,0,0,15,10,1,0,0,40,10,0,0,15,23,1,0,0
3028331253,Win,TRUE,FALSE,FALSE,TRUE,FALSE,Fail,FALSE,TRUE,TRUE,FALSE,TRUE,22,126,201,59,268,163,64,164,202,89,26883,29679,521,24942,29005,484,41,16,1,0,6,8,2,0,0,43,27,1,1,6,9,1,0,0
3028307584,Win,TRUE,TRUE,TRUE,FALSE,TRUE,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,101,126,59,202,57,120,110,2,268,21,31054,30224,457,22634,26293,413,41,15,1,0,14,22,4,0,0,32,12,0,0,4,4,0,0,0
3027844628,Fail,FALSE,TRUE,FALSE,FALSE,FALSE,Win,TRUE,FALSE,TRUE,TRUE,TRUE,44,13,429,19,114,142,107,202,516,223,23654,27255,440,26425,29836,455,37,8,0,0,6,8,0,0,0,37,16,0,0,11,14,1,0,0
3027742337,Fail,FALSE,TRUE,TRUE,FALSE,FALSE,Win,TRUE,FALSE,FALSE,TRUE,TRUE,113,268,12,429,57,202,85,163,101,107,26327,28583,396,27575,29189,419,36,6,0,0,13,18,1,0,0,38,4,0,0,10,16,1,0,0
3027678846,Fail,TRUE,TRUE,FALSE,FALSE,FALSE,Win,FALSE,FALSE,FALSE,TRUE,TRUE,24,163,43,202,68,102,150,142,12,110,24313,28796,469,25604,32123,502,41,20,0,0,5,8,1,0,0,44,16,1,0,9,9,0,0,0
